record,Scenario,Wait Time (s),PET (s),Distace to Collision Point,low LaneWidth,high LaneWidth,density,mixed_TrafficCondition,fully_AutomatedCondition,Snowy,One way,Two way with median,Night,OverOneCar,Age_30 - 39,age_over50,Gender_Female,mode_active,walk_to_work,mode_Public Transit,driving license_Yes,walk_to_shop,mode_Car,category
15,26,1.26758,1000,1000,1,0,13.25,0,1,0,1,0,1,0,1,0,0,1,1,0,1,1,0,1
16,11,3.61661,1000,1000,0,0,17.66666667,0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,1
17,72,24.22759,1.26864,15,0,1,22,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,2
18,64,7.23395,-6.6158,1000,0,0,25,0,1,1,1,0,1,0,1,0,0,1,1,0,1,1,0,2
19,15,3.911642,1000,35.6,1,0,17.66666667,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,1
20,18,3.02859,-23.59116,1000,1,0,18.75,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1
21,11,8.76232,1000,1000,0,0,17.66666667,0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,2
22,65,4.242482,-5.82744,40.8,1,0,27.5,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1
23,82,10.06596,1000,1000,0,1,13.25,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,0,2
