gid,weekend,hour_8_10,hour_11_13,hour_14_16,hour_17_19,hour_20_22,hour_23_1,hour_2_4,hour_5_7,num_coord,trip_dist,trip_time,trip_aspeed,act_edu,act_health,act_leisure,act_meal,act_errand,act_shop,act_home,act_work,act_meeting,mode
36001,0,0,0,0,1,0,0,0,0,4.407,1.78641186290146,2.76424148075195,3.06805293513362,0,0,0,0,0,0,1,0,0,1
36004,0,0,0,1,0,0,0,0,0,4.844,2.36066530407057,2.82435065679837,3.63495111208838,0,0,0,0,0,0,1,0,0,1
36002,0,0,0,0,0,1,0,0,0,4.533,1.80812482331432,3.22684399451738,2.63905732961526,0,0,1,0,0,0,0,0,0,3
36005,0,0,0,0,1,0,0,0,0,4.477,1.70529339807762,3.06805293513362,2.71469474382088,0,0,1,0,0,0,0,0,0,1
36006,0,1,0,0,0,0,0,0,0,4.025,1.61621489671312,2.77152565738652,2.86220088092947,0,0,0,1,0,0,0,0,0,1
36003,0,0,0,0,1,0,0,0,0,3.932,1.34651349110805,2.99658191250857,2.46809953147162,0,0,0,0,0,0,1,0,0,1
36007,0,0,0,0,1,0,0,0,0,3.584,1.65268895442842,2.81642616572049,2.89037175789616,0,0,0,1,0,0,0,0,0,1
36053,0,0,0,0,0,1,0,0,0,3.135,0.685618914139154,2.44382420468677,1.96009478404727,0,0,0,0,0,0,1,0,0,3
36064,0,0,0,1,0,0,0,0,0,4.564,2.02061998087149,3.03254624667671,3.04927304048202,0,0,0,0,0,1,0,0,0,1
35999,0,0,1,0,0,0,0,0,0,6.035,3.82944542100083,3.6287843795626,4.33729074083249,0,0,0,0,0,0,0,1,0,1
36713,0,0,0,0,1,0,0,0,0,3.497,1.06574468504249,2.45530618001171,2.55722731136763,0,0,1,0,0,0,0,0,0,1
48753,0,0,0,0,1,0,0,0,0,4.812,2.00269547743452,3.4626060097908,2.60268968544438,0,0,0,1,0,0,0,0,0,1
36013,0,1,0,0,0,0,0,0,0,5.106,2.34468626901268,4.2312037449393,2.24070968927596,0,0,1,0,0,0,0,0,0,4
36008,0,0,0,0,1,0,0,0,0,4.852,2.88770152934029,3.89487684659318,3.1267605359604,0,0,0,0,0,0,0,1,0,3
36740,0,1,0,0,0,0,0,0,0,3.466,1.15057202759882,2.69239496149164,2.45958884180371,0,0,0,0,0,0,0,1,0,1
36009,0,0,0,1,0,0,0,0,0,5.024,2.44512577977616,2.7408400239252,3.79548918917219,0,0,0,0,0,0,1,0,0,1
