"gid","weekend","hour_term_8_10","hour_term_11_13","hour_term_14_16","hour_term_17_19","hour_term_20_22","hour_term_23_1","hour_term_2_4","hour_term_5_7","trip_length_km","trip_duration_min","avg_speed_kms","ln_n_coord","education","health","leisure","cafe","errand","shopping","home","work","meeting","mode"
9050,0,0,1,0,0,0,0,0,0,"2.421","6.3","25.10","3.761",0,0,0,0,0,1,0,0,0,"1"
7570,0,0,0,0,1,0,0,0,0,"1.348","5.983","15.00","3.367",0,0,0,0,0,0,1,0,0,"3"
7600,0,0,0,0,1,0,0,0,0,"10.835","36.967","17.80","4.263",0,0,0,0,0,0,1,0,0,"3"
7602,0,0,0,0,1,0,0,0,0,"3.396","15.55","13.90","4.205",0,0,0,0,0,0,1,0,0,"3"
13128,0,0,0,0,0,1,0,0,0,"1.998","31.25","4.20","3.829",0,0,0,0,0,0,0,1,0,"4"
7564,0,0,0,0,1,0,0,0,0,"3.821","19.483","12.50","4.317",0,0,0,0,0,0,1,0,0,"1"
9415,0,0,1,0,0,0,0,0,0,"1.787","7.567","15.00","3.584",0,0,0,0,0,0,0,1,0,"5"
7565,0,0,0,0,1,0,0,0,0,"13.772","46.1","17.90","3.784",0,0,0,0,0,0,1,0,0,"5"
7566,0,0,0,0,1,0,0,0,0,"15.525","33.883","27.60","5.361",0,0,0,0,0,0,1,0,0,"1"
9212,0,0,1,0,0,0,0,0,0,"4.955","27.467","10.90","3.434",0,0,1,0,0,0,0,0,0,"3"
7573,0,0,0,0,1,0,0,0,0,"24.868","48.817","30.70","5.979",0,0,0,0,0,0,1,0,0,"1"
7567,0,0,0,0,1,0,0,0,0,"19.024","43","27.00","5.537",0,0,0,0,0,0,1,0,0,"5"
7572,0,0,0,0,1,0,0,0,0,"12.959","37.717","20.90","5.663",0,0,0,0,1,0,0,0,0,"1"
7577,0,0,0,1,0,0,0,0,0,"8.732","25.783","21.30","5.215",0,0,0,0,0,0,1,0,0,"2"
7574,0,0,0,0,1,0,0,0,0,"0.817","14.383","4.20","2.944",0,0,0,0,0,0,1,0,0,"4"
7580,0,0,0,0,1,0,0,0,0,"14.370","34.917","25.30","5.375",0,0,0,0,0,0,1,0,0,"1"
7575,0,0,0,0,1,0,0,0,0,"1.600","7.833","13.50","3.526",0,0,0,0,0,0,1,0,0,"3"
7584,0,0,0,0,1,0,0,0,0,"29.135","62.183","28.20","6.014",0,0,0,0,0,0,0,1,0,"1"
7585,0,0,0,0,1,0,0,0,0,"6.059","34.083","11.00","4.745",0,0,1,0,0,0,0,0,0,"1"
7595,0,0,0,0,1,0,0,0,0,"12.926","14.9","53.40","5.011",0,0,0,0,0,0,1,0,0,"5"
7581,0,0,0,0,1,0,0,0,0,"43.770","94.717","93.30","7.045",0,0,0,0,0,0,0,1,0,"3"
7582,0,0,0,0,0,0,0,1,0,"0.532","1.85","17.10","2.485",0,0,0,1,0,0,0,0,0,"2"
7583,0,0,0,0,1,0,0,0,0,"0.442","6.567","4.60","2.485",0,0,0,0,0,0,1,0,0,"4"
7592,0,0,0,1,0,0,0,0,0,"0.879","2.2","27.00","2.565",0,0,0,1,0,0,0,0,0,"1"
7593,0,0,0,0,1,0,0,0,0,"1.747","6.283","18.60","3.738",0,0,0,0,0,0,1,0,0,"2"
7612,0,0,0,0,1,0,0,0,0,"4.887","16.883","18.10","4.500",0,0,0,0,0,0,1,0,0,"1"
7604,0,0,0,0,0,1,0,0,0,"5.024","36.217","8.50","4.564",0,0,0,0,0,0,1,0,0,"2"
8597,0,1,0,0,0,0,0,0,0,"0.989","6.167","10.80","3.135",0,0,0,1,0,0,0,0,0,"2"
7586,0,0,0,1,0,0,0,0,0,"20.216","42.683","28.50","5.361",0,0,0,1,0,0,0,0,0,"1"
7587,0,0,0,1,0,0,0,0,0,"1.266","15.817","4.90","3.332",0,0,0,0,0,1,0,0,0,"4"
7588,0,0,0,0,1,0,0,0,0,"0.647","2.417","20.60","2.773",0,0,0,0,0,0,0,0,1,"1"
8390,0,1,0,0,0,0,0,0,0,"3.364","14.817","15.10","4.174",0,0,0,0,0,0,0,1,0,"1"
7589,0,0,0,1,0,0,0,0,0,"4.797","9.333","32.60","4.190",0,0,0,0,1,0,0,0,0,"1"
7856,0,0,0,0,1,0,0,0,0,"2.525","13.667","11.90","3.807",0,0,0,0,0,0,1,0,0,"1"
7648,0,0,0,0,0,1,0,0,0,"5.886","9.1","40.40","4.554",0,0,0,0,0,0,0,0,1,"1"
7605,0,0,0,0,1,0,0,0,0,"4.474","9.717","27.60","4.344",0,0,0,0,0,0,0,1,0,"1"
7607,0,0,0,0,0,1,0,0,0,"2.982","10.267","17.60","3.970",0,0,0,0,0,0,0,1,0,"1"
7590,0,0,0,1,0,0,0,0,0,"0.658","8.817","5.40","2.890",0,0,0,0,0,0,1,0,0,"3"
7591,0,0,1,0,0,0,0,0,0,"1.581","3.45","31.10","2.833",0,0,0,1,0,0,0,0,0,"1"
7649,0,0,0,0,1,0,0,0,0,"9.391","16.517","35.50","4.554",0,0,0,0,0,0,1,0,0,"1"
7608,0,0,1,0,0,0,0,0,0,"13.581","22.45","36.80","5.124",0,0,0,0,0,0,1,0,0,"1"
7655,0,0,1,0,0,0,0,0,0,"4.183","12.017","22.90","4.127",0,0,0,0,0,0,0,1,0,"1"
10766,0,1,0,0,0,0,0,0,0,"1.039","13.667","4.70","3.091",0,0,0,0,0,0,0,1,0,"4"
7609,0,0,0,0,1,0,0,0,0,"0.600","11.15","4.10","2.833",0,0,0,0,0,0,1,0,0,"4"
7617,0,0,0,0,1,0,0,0,0,"16.686","25.533","40.40","5.380",0,0,0,0,0,0,1,0,0,"1"
7610,0,0,1,0,0,0,0,0,0,"4.048","34.417","7.40","4.500",1,0,0,0,0,0,0,0,0,"4"
7611,0,0,0,0,1,0,0,0,0,"6.072","30.617","12.00","4.796",0,0,0,0,0,0,1,0,0,"2"
7615,0,0,0,1,0,0,0,0,0,"0.307","7.4","8.40","2.485",0,0,1,0,0,0,0,0,0,"3"
7613,0,0,0,0,1,0,0,0,0,"22.082","32.283","41.20","5.481",0,0,0,0,0,0,1,0,0,"1"
7618,0,0,0,0,0,0,0,1,0,"4.566","25.817","12.40","4.564",0,0,0,0,0,0,0,1,0,"3"
7630,0,0,0,0,1,0,0,0,0,"9.129","30.7","17.90","5.043",0,0,0,0,0,0,1,0,0,"1"
7614,0,0,0,1,0,0,0,0,0,"12.766","70.683","10.90","5.416",0,0,0,0,0,0,1,0,0,"1"
7619,0,0,0,0,1,0,0,0,0,"14.239","40.317","22.00","5.394",0,0,0,0,0,0,1,0,0,"1"
7620,0,0,0,0,1,0,0,0,0,"8.117","28.483","17.10","3.258",0,0,0,0,0,0,1,0,0,"3"
7628,0,0,0,0,1,0,0,0,0,"16.499","35.05","32.00","5.489",0,0,0,0,0,0,0,1,0,"1"
7621,0,0,0,0,1,0,0,0,0,"10.713","33.25","19.50","5.357",0,0,0,0,0,0,1,0,0,"2"
7625,0,0,0,0,0,1,0,0,0,"23.067","20.45","69.70","5.273",0,0,0,0,0,0,1,0,0,"1"
7626,0,0,0,0,1,0,0,0,0,"2.063","11.767","10.20","3.714",0,0,0,0,0,0,1,0,0,"3"
7627,0,0,0,0,1,0,0,0,0,"2.404","31.617","4.50","3.784",0,0,0,0,0,0,1,0,0,"3"
7629,0,0,0,0,0,0,0,1,0,"10.725","30.767","21.40","5.136",0,0,0,0,0,0,0,1,0,"1"
7631,0,0,0,0,0,1,0,0,0,"15.389","15","63.10","4.913",0,0,0,0,0,0,0,1,0,"1"
7632,0,0,0,0,1,0,0,0,0,"9.550","21.9","26.60","5.063",0,0,1,0,0,0,0,0,0,"1"
7918,0,0,0,0,0,1,0,0,0,"6.590","43.7","9.20","3.912",0,0,0,0,0,0,1,0,0,"3"
7638,0,1,0,0,0,0,0,0,0,"15.140","28.433","33.00","5.263",0,0,0,0,0,0,0,1,0,"1"
7633,0,0,0,0,0,0,0,0,1,"24.971","26.75","56.40","5.513",0,0,0,0,0,0,0,1,0,"1"
7636,0,0,0,0,0,0,0,0,1,"10.407","25.667","24.70","5.136",0,0,0,0,0,0,0,1,0,"1"
7639,0,0,0,0,0,1,0,0,0,"9.063","29.767","18.60","4.828",0,0,1,0,0,0,0,0,0,"1"
7637,0,0,0,0,0,0,0,0,1,"15.918","24.45","39.10","5.030",0,0,0,0,0,0,0,1,0,"3"
7634,0,0,0,0,0,0,0,0,1,"1.542","9.067","11.40","3.466",0,0,0,0,0,0,0,1,0,"1"
7640,0,0,0,0,1,0,0,0,0,"3.596","14.45","15.10","4.277",0,0,0,0,0,0,1,0,0,"2"
7647,0,0,0,0,1,0,0,0,0,"6.236","19.833","18.90","4.796",0,0,0,0,0,0,1,0,0,"2"
7641,0,0,0,0,0,0,0,1,0,"0.343","76.867","22.70","2.197",0,0,0,0,0,1,0,0,0,"6"
7654,0,0,0,0,0,1,0,0,0,"0.945","6.567","11.70","3.258",0,0,1,0,0,0,0,0,0,"3"
7642,0,0,0,0,1,0,0,0,0,"19.884","32.65","44.80","5.568",0,1,0,0,0,0,0,0,0,"1"
7650,0,0,0,0,1,0,0,0,0,"23.462","48.983","33.80","5.694",0,0,0,0,0,0,0,1,0,"5"
7643,0,0,0,0,0,1,0,0,0,"4.961","7","44.00","4.220",0,0,0,0,1,0,0,0,0,"1"
7644,0,0,0,0,1,0,0,0,0,"1.900","11.85","10.10","3.526",0,0,0,0,0,1,0,0,0,"1"
7645,0,0,0,0,1,0,0,0,0,"0.955","2.55","26.70","3.091",0,0,0,0,0,1,0,0,0,"1"
7646,0,0,0,0,1,0,0,0,0,"2.894","6.267","26.10","3.871",0,0,0,0,0,1,0,0,0,"1"
7669,0,0,0,1,0,0,0,0,0,"7.104","13.867","31.60","4.727",0,0,0,0,0,0,1,0,0,"1"
9539,0,0,0,1,0,0,0,0,0,"1.744","9.567","11.90","3.584",0,0,0,0,0,0,1,0,0,"3"
7779,0,0,0,0,1,0,0,0,0,"5.723","11.65","30.00","4.533",0,0,0,0,0,1,0,0,0,"1"
15314,0,0,0,1,0,0,0,0,0,"6.300","22.333","17.70","4.779",0,0,0,0,0,0,1,0,0,"1"
7651,0,0,1,0,0,0,0,0,0,"3.855","55.617","4.30","4.382",0,1,0,0,0,0,0,0,0,"4"
8117,0,0,0,0,1,0,0,0,0,"3.019","12","18.10","4.127",0,0,0,0,0,1,0,0,0,"1"
